adm0_id,adm0_name,adm1_id,adm1_name,mkt_id,mkt_name,cm_id,cm_name,cur_id,cur_name,pt_id,pt_name,um_id,um_name,mp_month,mp_year,mp_price,mp_commoditysource
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,4,2012,350,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,5,2012,350,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,6,2012,350,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,7,2012,350,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,8,2012,380,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,9,2012,400,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,10,2012,400,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,11,2012,400,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,12,2012,400,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,1,2013,400,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,6,2013,350,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,8,2013,350,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,9,2013,330,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,10,2013,350,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,12,2013,450,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,1,2014,450,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,2,2014,460,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,3,2014,400,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,5,2014,460,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,6,2014,450,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,7,2014,450,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,8,2014,440,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,9,2014,430,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,10,2014,380,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,11,2014,400,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,12,2014,380,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,1,2015,380,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,2,2015,320,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,3,2015,335,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,4,2015,360,WFP Sub-Offices
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,5,2015,370,WFP Sub-Offices
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,6,2015,380,WFP Sub-Offices
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,7,2015,350,WFP Sub-Offices
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,8,2015,400,WFP Sub-Offices
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,9,2015,450,WFP Sub-Offices
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,10,2015,505,WFP Sub-Offices
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,11,2015,510,WFP Sub-Offices
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,12,2015,425,WFP Sub-Offices
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,1,2016,450,WFP Sub-Offices
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,2,2016,444,WFP Sub-Offices
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,206,Beans (kidney red),31,YER,15,Retail,5,KG,3,2016,543,WFP Sub-Offices
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,66,Beans (white),31,YER,15,Retail,5,KG,4,2012,300,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,66,Beans (white),31,YER,15,Retail,5,KG,5,2012,320,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,66,Beans (white),31,YER,15,Retail,5,KG,6,2012,300,WFP Sub-office
269,Yemen,144969,$Amanat Al Asimah,197,Sana'a City,66,Beans (white),31,YER,15,Retail,5,KG,7,2012,300,WFP Sub-office
